Name;Price;Discounted Price;Discount (%);Quantity;Units of Measurement;Category;Subcategory
galbani galbanino light il leggero;3.39;1.85;45.43;230;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
grana padano grattugiato;2.09;1.0;52.15;100;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
parmigiano reggiano;2.45;1.71;30.2;100;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
ferrari tilsit;1.99;1.0;49.75;200;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
philadelphia mousse classico;1.73;1.0;42.2;130;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
sottilette senza lattosio;1.99;1.19;40.2;185;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
parmigiano reggiano 30 mesi;18.5;12.9;30.27;800;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
grana padano dop riserva oltre 20 mesi 0,300 kg;4.89;3.66;25.15;300;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
formaggio bella lodi grattuggiato;1.42;0.99;30.28;80;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
parmigiano reggiano dop grattugiato fresco 60 g;1.69;0.99;41.42;60;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
parmigiano reggiano dop;6.9;2.49;63.91;300;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
parmigiano reggiano dop grattugiato biologico;1.29;1.0;22.48;50;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
parmigiano reggiano dop 30 mesi grattugiato;1.08;1.0;7.41;60;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
parmigiano reggiano dop 30 mesi;9.8;7.42;24.29;500;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
pecorino romano dop grattugiato;1.39;1.0;28.06;100;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
mix di formaggi italiani grattugiati;1.03;1.0;2.91;100;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
grana padano dop grattugiato;1.3;1.0;23.08;100;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
galbani santa lucia ricotta;1.89;1.09;42.33;250;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
parmareggio parmigiano reggiano dop 22 mesi;11.9;8.75;26.47;500;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
galbani galbanino;2.65;2.15;18.87;270;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
parmigiano reggiano dop grattugiato fresco;1.99;1.55;22.11;85;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
parmigiano reggiano dop fresco di grattugia;1.48;1.0;32.43;125;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
cuor di forma grana padano 16 mesi;3.15;3.05;3.17;150;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
ricotta grattugiato;1.49;0.51;65.77;95;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
grana padano grattugiato;3.75;2.19;41.6;200;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
chicca di riso integrale germogliato;3.89;2.0;48.59;200;g;salumi e formaggi;grana, parmiggiano e altri grattugiati
granarolo mozzarella;3.57;2.06;42.3;400;g;salumi e formaggi;mozzarelle vaccine e di bufala
mozzarella;1.49;0.87;41.61;100;g;salumi e formaggi;mozzarelle vaccine e di bufala
galbani santa lucia mozzarella;2.59;1.53;40.93;375;g;salumi e formaggi;mozzarelle vaccine e di bufala
vallelata mozzarella fresca tris;3.43;1.0;70.85;200;g;salumi e formaggi;mozzarelle vaccine e di bufala
galbani santa lucia mozzarella;2.89;1.49;48.44;250;g;salumi e formaggi;mozzarelle vaccine e di bufala
santa lucia bufalina ideale per pizza;3.39;2.79;17.7;250;g;salumi e formaggi;mozzarelle vaccine e di bufala
mozzarella;2.39;1.0;58.16;400;g;salumi e formaggi;mozzarelle vaccine e di bufala
senza lattosio mozzarella alta digeribilità;1.09;0.99;9.17;125;g;salumi e formaggi;mozzarelle vaccine e di bufala
mozzarella;1.75;0.98;44.0;125;g;salumi e formaggi;mozzarelle vaccine e di bufala
caseificio pugliese treccina fresca;2.56;2.0;21.88;200;g;salumi e formaggi;mozzarelle vaccine e di bufala
granarolo bio mozzarella bio;2.79;1.95;30.11;200;g;salumi e formaggi;mozzarelle vaccine e di bufala
perline 120 g;1.49;1.29;13.42;270;g;salumi e formaggi;mozzarelle vaccine e di bufala
bocconcini di mozzarella;1.79;0.1;94.41;200;g;salumi e formaggi;mozzarelle vaccine e di bufala
vallelata bio mozzarella fiordilatte biologica;3.99;1.0;74.94;100;g;salumi e formaggi;mozzarelle vaccine e di bufala
santa lucia ciliegie di mozzarella 150 g;1.89;1.0;47.09;150;g;salumi e formaggi;mozzarelle vaccine e di bufala
santa lucia quattro mozzarella;3.82;2.29;40.05;800;g;salumi e formaggi;mozzarelle vaccine e di bufala
mozzarella di bufala campana dop;6.9;4.99;27.68;1000;g;salumi e formaggi;mozzarelle vaccine e di bufala
mozzarella ciliegina;1.49;0.55;63.09;125;g;salumi e formaggi;mozzarelle vaccine e di bufala
mozzarella di bufala campana;3.99;3.79;5.01;250;g;salumi e formaggi;mozzarelle vaccine e di bufala
foglia di mozzarella vaccina vaschetta;2.55;1.99;21.96;170;g;salumi e formaggi;mozzarelle vaccine e di bufala
vaccina busta;0.78;0.55;29.49;100;g;salumi e formaggi;mozzarelle vaccine e di bufala
santa lucia senza lattosio mozzarella 100 g;1.99;1.39;30.15;100;g;salumi e formaggi;mozzarelle vaccine e di bufala
tapporosso mozzarella di bufala campana dop 200 g;3.99;2.79;30.08;480;g;salumi e formaggi;mozzarelle vaccine e di bufala
bio mozzarella biologica 100 g;1.55;1.39;10.32;100;g;salumi e formaggi;mozzarelle vaccine e di bufala
mozzarella;2.31;0.99;57.14;100;g;salumi e formaggi;mozzarelle vaccine e di bufala
latterie friulane stracchino friulino;2.09;1.0;52.15;160;g;salumi e formaggi;mozzarelle vaccine e di bufala
gira e fila scamorza affumicata  atm;1.99;;;125;g;salumi e formaggi;provoloni e scamorze
scamorza di latte vaccino;2.3;1.95;15.22;250;g;salumi e formaggi;provoloni e scamorze
scamorza di latte vaccino;1.56;1.49;4.49;140;g;salumi e formaggi;provoloni e scamorze
scamorza affumicata di latte vaccino;2.3;1.95;15.22;250;g;salumi e formaggi;provoloni e scamorze
scamorza affumicata di latte vaccino;1.56;1.49;4.49;140;g;salumi e formaggi;provoloni e scamorze
fontal;2.49;2.19;12.05;400;g;salumi e formaggi;provoloni e scamorze
provolone dolce;2.29;2.19;4.37;250;g;salumi e formaggi;provoloni e scamorze
scamorza affumicata;3.99;1.79;55.14;200;g;salumi e formaggi;provoloni e scamorze
leerdammer, dolcifette formaggio fuso a fette;2.89;;;325;g;salumi e formaggi;provoloni e scamorze
scamorza affumicata;6.26;3.26;47.92;420;g;salumi e formaggi;provoloni e scamorze
scamorzine bianche sassano;3.99;3.39;15.04;250;g;salumi e formaggi;provoloni e scamorze
scamorza affum;3.99;;;250;g;salumi e formaggi;provoloni e scamorze
scamorzine bianche sassano;3.99;;;250;g;salumi e formaggi;provoloni e scamorze
scamorza bianca;1.89;;;300;g;salumi e formaggi;provoloni e scamorze
scamorza affumicata;3.99;;;250;g;salumi e formaggi;provoloni e scamorze
philadelphia mousse noci;1.73;1.19;31.21;130;g;salumi e formaggi;ricotta
ricotta fresca;1.56;0.79;49.36;250;g;salumi e formaggi;ricotta
la tenerotta;2.03;1.19;41.38;100;g;salumi e formaggi;ricotta
ricotta biologica;1.39;1.34;3.6;250;g;salumi e formaggi;ricotta
ricottine;0.89;0.82;7.87;200;g;salumi e formaggi;ricotta
senza lattosio ricottine alta digeribilità;1.19;1.09;8.4;200;g;salumi e formaggi;ricotta
ricotta;1.49;0.79;46.98;450;g;salumi e formaggi;ricotta
ricottine;1.29;0.89;31.01;100;g;salumi e formaggi;ricotta
galbani vallelata ricotta fresca;2.15;0.87;59.53;250;g;salumi e formaggi;ricotta
vallelata ricotta fresca;1.29;0.92;28.68;250;g;salumi e formaggi;ricotta
vallelata ricottine fresche;1.24;0.99;20.16;200;g;salumi e formaggi;ricotta
ricotta;1.39;;;100;g;salumi e formaggi;ricotta
ricotta di bufala;1.89;1.09;42.33;200;g;salumi e formaggi;ricotta
cuore di ricotta di pecora;2.48;1.99;19.76;200;g;salumi e formaggi;ricotta
ricotta;0.9;0.55;38.89;250;g;salumi e formaggi;ricotta
spega primo sale di capra;3.19;1.97;38.24;100;g;salumi e formaggi;ricotta
ricotta;1.29;1.04;19.38;250;g;salumi e formaggi;ricotta
ricomisu' crema di ricotta;3.19;2.23;30.09;500;g;salumi e formaggi;ricotta
riccotta;1.35;;;250;g;salumi e formaggi;ricotta
jocca fiocchi freschi e cremosi;3.47;1.73;50.14;350;g;salumi e formaggi;ricotta
philadelphia salmone;2.19;;;150;g;salumi e formaggi;ricotta
esselunga crescenza senza conservanti;2.99;1.49;50.17;320;g;salumi e formaggi;ricotta
ricotta;1.59;1.19;25.16;250;g;salumi e formaggi;ricotta
ricotta fresca;1.39;;;250;g;salumi e formaggi;ricotta
riccotta;1.42;0.99;30.28;250;g;salumi e formaggi;ricotta
ricotta;2.42;1.69;30.17;450;g;salumi e formaggi;ricotta
mini sfiziotta al pistacchio;2.85;1.99;30.18;180;g;salumi e formaggi;ricotta
mini sfiziotta limone;2.85;1.99;30.18;180;g;salumi e formaggi;ricotta
mini sfiziotta stracciatella;2.85;1.99;30.18;180;g;salumi e formaggi;ricotta
mini sfiziotta pere e cioccolato;2.85;1.99;30.18;180;g;salumi e formaggi;ricotta
ricotta;1.56;1.09;30.13;250;g;salumi e formaggi;ricotta
robiola;0.99;0.89;10.1;100;g;salumi e formaggi;robiole e caprini
vallelata robiola fresca;2.59;1.39;46.33;90;g;salumi e formaggi;robiole e caprini
tomino bacon 0,220 kg;4.9;3.79;22.65;220;g;salumi e formaggi;robiole e caprini
la bûche tronchetto di capra;3.35;2.79;16.72;200;g;salumi e formaggi;robiole e caprini
mauri fiori di capra;3.39;1.79;47.2;180;g;salumi e formaggi;robiole e caprini
sapori del sud;2.09;1.59;23.92;100;g;salumi e formaggi;robiole e caprini
maurino robiolino di capra;1.75;1.29;26.29;100;g;salumi e formaggi;robiole e caprini
primosale di capra;2.85;1.99;30.18;150;g;salumi e formaggi;robiole e caprini
cabridoux;1.95;;;125;g;salumi e formaggi;robiole e caprini
robiola;0.79;;;100;g;salumi e formaggi;robiole e caprini
dolcecrema di capra 0,150 kg;3.19;;;150;g;salumi e formaggi;robiole e caprini
robiola alle olive;1.29;0.9;30.23;90;g;salumi e formaggi;robiole e caprini
formaggio caciotta fresca;3.65;;;400;g;salumi e formaggi;robiole e caprini
la robiola osella 2 x 100 g;1.99;1.39;30.15;200;g;salumi e formaggi;robiole e caprini
caprino di capra;1.69;;;80;g;salumi e formaggi;robiole e caprini
robiola biologica;1.65;1.32;20.0;100;g;salumi e formaggi;robiole e caprini
caprì di capra 80 g x 2;2.35;;;160;g;salumi e formaggi;robiole e caprini
tomino con erbe aromatiche;1.99;;;180;g;salumi e formaggi;robiole e caprini
formaggio tomino con speck;2.59;;;220;g;salumi e formaggi;robiole e caprini
formaggio tomino da griglia;1.85;;;200;g;salumi e formaggi;robiole e caprini
zorbas 100% capra formaggio originale greco;2.59;;;200;g;salumi e formaggi;robiole e caprini
mevgal feta;3.0;2.19;27.0;200;g;salumi e formaggi;robiole e caprini
bustaffa robiolino della nonna;1.26;;;100;g;salumi e formaggi;robiole e caprini
alpina fiocchi di latte;0.79;;;200;g;salumi e formaggi;robiole e caprini
robiola fresca;1.99;;;100;g;salumi e formaggi;robiole e caprini
delicapra fresco;1.95;1.59;18.46;150;g;salumi e formaggi;robiole e caprini
caprino di latte vaccino;1.19;;;120;g;salumi e formaggi;robiole e caprini
mauri capri' leggero;1.19;;;160;g;salumi e formaggi;robiole e caprini
osella robiola olive;1.39;1.04;25.18;100;g;salumi e formaggi;robiole e caprini
caprino di capra;1.49;;;80;g;salumi e formaggi;robiole e caprini
robiola;0.75;;;100;g;salumi e formaggi;robiole e caprini
philadelphia light;2.19;1.49;31.96;150;g;salumi e formaggi;spalmabili
valsoia bontà e salute lo spalmabile classico;2.19;1.0;54.34;125;g;salumi e formaggi;spalmabili
zampone igp;11.29;9.99;11.51;900;g;salumi e formaggi;spalmabili
philadelphia classico senza lattosio;2.03;1.0;50.74;175;g;salumi e formaggi;spalmabili
vitasnella fiocchi di latte;1.59;1.0;37.11;200;g;salumi e formaggi;spalmabili
philadelphia fantasie erbe 6x25g;1.87;1.0;46.52;150;g;salumi e formaggi;spalmabili
philadelphia mini;2.19;1.0;54.34;150;g;salumi e formaggi;spalmabili
biologico fiocchi di latte;1.19;0.69;42.02;150;g;salumi e formaggi;spalmabili
formaggio fresco light;1.29;1.04;19.38;200;g;salumi e formaggi;spalmabili
formaggio fresco classico;0.89;0.73;17.98;200;g;salumi e formaggi;spalmabili
exquisa light latticino fresco cremoso;1.28;0.89;30.47;175;g;salumi e formaggi;spalmabili
philadelphia classico;1.99;1.54;22.61;200;g;salumi e formaggi;spalmabili
formaggio fresco spalmabile andechser;1.4;0.75;46.43;200;g;salumi e formaggi;spalmabili
crema bel paese formaggini;1.79;0.99;44.69;175;g;salumi e formaggi;spalmabili
fiocchi latte bio 150g;1.45;1.15;20.69;150;g;salumi e formaggi;spalmabili
alta digeribilità yogurt bianco senza lattosio;1.99;0.99;50.25;125;g;salumi e formaggi;spalmabili
senza lattosio formaggio fresco cremoso;1.39;1.28;7.91;175;g;salumi e formaggi;spalmabili
formaggio fresco spalmabile;1.0;0.89;11.0;200;g;salumi e formaggi;spalmabili
salmone 6 x 25 g;1.79;1.0;44.13;150;g;salumi e formaggi;spalmabili
philadelphia erbe;1.89;1.49;21.16;150;g;salumi e formaggi;spalmabili
fini zampone igp;11.99;11.73;2.17;1000;g;salumi e formaggi;spalmabili
philadelphia mini;1.6;1.25;21.88;150;g;salumi e formaggi;spalmabili
spalmabile fitline;1.39;1.0;28.06;175;g;salumi e formaggi;spalmabili
spalmabile al parmigiano reggiano;1.99;;;150;g;salumi e formaggi;spalmabili
vivita fiocchi di latte;0.99;;;150;g;salumi e formaggi;spalmabili
il fresco spalmabile;2.35;;;150;g;salumi e formaggi;spalmabili
riccotta spalmabile;1.0;0.79;21.0;150;g;salumi e formaggi;spalmabili
spalmabile feta e olive;2.99;;;180;g;salumi e formaggi;spalmabili
classico formaggio fresco 6x25g;2.09;;;150;g;salumi e formaggi;spalmabili
del zoppo, julienne di bresaola di manzo;2.79;1.99;28.67;80;g;salumi e formaggi;a cubetti
il guanciale stick;2.49;1.74;30.12;60;g;salumi e formaggi;a cubetti
pancetta dolce a cubetti;3.6;2.62;27.22;200;g;salumi e formaggi;a cubetti
beretta il cotto a julienne;1.99;0.99;50.25;90;g;salumi e formaggi;a cubetti
handl tyrol, cubettini di speck;3.36;1.89;43.75;80;g;salumi e formaggi;a cubetti
pancetta affumicata a cubetti da suini italiani;2.29;2.04;10.92;200;g;salumi e formaggi;a cubetti
pancetta dolce a cubetti da suini italiani;2.29;2.04;10.92;200;g;salumi e formaggi;a cubetti
prosciutto cotto a cubetti da suini italiani;2.65;1.98;25.28;200;g;salumi e formaggi;a cubetti
vismara, coriandoli di pancetta affumicata;2.93;1.69;42.32;140;g;salumi e formaggi;a cubetti
rovagnati snello prosciutto cotto trancio;9.5;6.99;26.42;500;g;salumi e formaggi;a cubetti
recla, speck alto adige igp sticks;2.05;1.64;20.0;50;g;salumi e formaggi;a cubetti
esselunga, cubetti di pancetta affumicata;2.39;;;160;g;salumi e formaggi;a cubetti
esselunga, cubetti di prosciutto cotto;2.89;;;180;g;salumi e formaggi;a cubetti
esselunga, cubetti di pancetta dolce;2.39;;;160;g;salumi e formaggi;a cubetti
salumificio san carlo, guanciale a cubetti;2.77;;;150;g;salumi e formaggi;a cubetti
recla, speck alto adige a cubetti;3.19;;;100;g;salumi e formaggi;a cubetti
negroni cotto stella;3.49;;;160;g;salumi e formaggi;a cubetti
citterio cubetti pancetta dolce;3.49;;;130;g;salumi e formaggi;a cubetti
negroni cubetti di pancetta dolce;3.72;2.6;30.11;160;g;salumi e formaggi;a cubetti
negroni cubetti di pancetta affumicata;3.72;2.6;30.11;160;g;salumi e formaggi;a cubetti
pancetta affumicata cubetti;2.69;;;500;g;salumi e formaggi;a cubetti
pancetta dolce a cubetti extra;0.79;;;160;g;salumi e formaggi;a cubetti
speck stick;1.49;;;90;g;salumi e formaggi;a cubetti
dadini di pancetta affumicata;2.99;1.7;43.14;90;g;salumi e formaggi;a cubetti
affumicata cubetti;0.99;;;200;g;salumi e formaggi;a cubetti
pancetta dolce a cubetti;2.29;;;200;g;salumi e formaggi;a cubetti
pancetta premium dolce cubetti;1.69;;;200;g;salumi e formaggi;a cubetti
cubetti prosciutto cotto;1.59;;;200;g;salumi e formaggi;a cubetti
pancetta premium affumumicata cubetti;1.69;;;200;g;salumi e formaggi;a cubetti
pancetta affettata a cubetti;0.99;;;200;g;salumi e formaggi;a cubetti
cubetti di pancetta dolce;3.99;2.25;43.61;90;g;salumi e formaggi;a cubetti
vismara fiammiferi di pancetta dolce -30% di sale*;2.93;;;120;g;salumi e formaggi;a cubetti
fiocco di prosciutto;12.0;1.99;83.42;100;g;salumi e formaggi;altri salumi
tacchino arrosto;4.44;1.55;65.09;110;g;salumi e formaggi;altri salumi
petto di pollo al forno;2.79;1.89;32.26;140;g;salumi e formaggi;altri salumi
fusi di pollo arrosto 0,450 kg;5.69;3.49;38.66;450;g;salumi e formaggi;altri salumi
arista al forno;3.0;2.66;11.33;120;g;salumi e formaggi;altri salumi
porchetta arrosto;5.39;1.49;72.36;100;g;salumi e formaggi;altri salumi
rigamonti, bresaola di tacchino a fette;4.95;2.69;45.66;100;g;salumi e formaggi;altri salumi
lardo pancettato take away;2.7;1.89;30.0;100;g;salumi e formaggi;altri salumi
spuntino roll prosciutto crudo e formaggio;2.49;1.79;28.11;60;g;salumi e formaggi;altri salumi
liberamente petto di pollo al curry;1.99;1.39;30.15;80;g;salumi e formaggi;altri salumi
pollo arrosto;4.19;3.84;8.35;80;g;salumi e formaggi;altri salumi
sempre domenica pollo in salsa tartara;1.99;1.0;49.75;200;g;salumi e formaggi;altri salumi
liberamente petto di pollo alla diavola;2.47;1.99;19.43;80;g;salumi e formaggi;altri salumi
arrosto di petto di pollo;1.79;1.29;27.93;110;g;salumi e formaggi;altri salumi
culatta stagionatura minima 15 mesi;6.7;5.4;19.4;100;g;salumi e formaggi;altri salumi
strutto;1.75;1.1;37.14;250;g;salumi e formaggi;altri salumi
tacchino al forno;2.99;1.79;40.13;130;g;salumi e formaggi;altri salumi
golfera, bresì a fette;3.87;;;75;g;salumi e formaggi;altri salumi
gigi il salumificio, strutto;1.95;;;250;g;salumi e formaggi;altri salumi
arrosto di tacchino;1.5;1.2;20.0;70;g;salumi e formaggi;altri salumi
porchetta arrosto;1.89;1.49;21.16;120;g;salumi e formaggi;altri salumi
rigamonti, bresaola con carne 100% italiana;5.99;3.49;41.74;85;g;salumi e formaggi;bresaola
bresaola della valtellina igp;3.99;2.6;34.84;90;g;salumi e formaggi;bresaola
cipressi in chianti bresaola nostrale;7.59;7.0;7.77;100;g;salumi e formaggi;bresaola
rigamonti bresaola di equino;4.15;2.75;33.73;80;g;salumi e formaggi;bresaola
bresaola punta d'anca igp;2.39;1.19;50.21;100;g;salumi e formaggi;bresaola
bresaola punta d'anca igp;2.69;2.39;11.15;70;g;salumi e formaggi;bresaola
bresaola igp;4.98;3.99;19.88;100;g;salumi e formaggi;bresaola
bresaola chiavenn.d/zoppo 100g;4.5;4.4;2.22;100;g;salumi e formaggi;bresaola
citterio taglio fresco carpaccio di carne bovina;5.49;3.9;28.96;90;g;salumi e formaggi;bresaola
bresaola valtellina igp;3.83;3.29;14.1;120;g;salumi e formaggi;bresaola
bresaola di tacchino;1.99;1.98;0.5;100;g;salumi e formaggi;bresaola
pozzoli, bresaola della valtellina igp a fette;4.49;;;70;g;salumi e formaggi;bresaola
esselunga, bresaola della valtellina igp a fette;3.99;;;90;g;salumi e formaggi;bresaola
bresaola affumicata;3.99;2.79;30.08;80;g;salumi e formaggi;bresaola
bresaola i.g.p.;2.99;;;90;g;salumi e formaggi;bresaola
bresaola al tartufo;5.39;3.49;35.25;90;g;salumi e formaggi;bresaola
bresaola di black angus s/g s/l;5.49;;;90;g;salumi e formaggi;bresaola
bresaola della valtellina igp punta d'anca;6.99;3.99;42.92;180;g;salumi e formaggi;bresaola
bresaola angus;4.59;;;100;g;salumi e formaggi;bresaola
bresaola merenda;1.99;1.39;30.15;30;g;salumi e formaggi;bresaola
bresaola da bovini allevati senza antib.;5.6;;;110;g;salumi e formaggi;bresaola
bresaola black angus;4.89;3.99;18.4;100;g;salumi e formaggi;bresaola
citterio - sofficette mortadella;1.9;1.08;43.16;80;g;salumi e formaggi;mortadella
mortadella rustica;1.49;1.09;26.85;100;g;salumi e formaggi;mortadella
mortadella bologna igp;2.39;1.39;41.84;150;g;salumi e formaggi;mortadella
citterio - la merenda salame milano;0.89;0.66;25.84;90;g;salumi e formaggi;mortadella
gran delizia mortadella di suino;2.39;1.49;37.66;120;g;salumi e formaggi;mortadella
tagliofresco mortadella bologna igp regina;1.99;1.39;30.15;110;g;salumi e formaggi;mortadella
mortadella bologna igp con pistacchio casa modena;2.09;1.99;4.78;120;g;salumi e formaggi;mortadella
felsineo mortadella bologna igp la blu di felsineo;6.4;3.19;50.16;500;g;salumi e formaggi;mortadella
mortadella vismarissima;2.59;1.09;57.92;100;g;salumi e formaggi;mortadella
rovagnati mortadella;3.59;;;110;g;salumi e formaggi;mortadella
esselunga, mortadella a fette;1.49;;;80;g;salumi e formaggi;mortadella
vismara, la vismarissima mortadella con pistacchio;2.99;;;100;g;salumi e formaggi;mortadella
esselunga, mortadella bologna igp a fette;2.39;;;120;g;salumi e formaggi;mortadella
mortadella;1.2;;;60;g;salumi e formaggi;mortadella
mortadella a fette;0.79;;;150;g;salumi e formaggi;mortadella
mortadella 0,140 kg;2.69;2.01;25.28;140;g;salumi e formaggi;mortadella
mortadella bologna igp con pistacchio;1.69;1.35;20.12;150;g;salumi e formaggi;mortadella
felsineo mortadella bologna igp;3.84;;;;g;salumi e formaggi;mortadella
mortadella bologna igp casa modena;1.99;;;130;g;salumi e formaggi;mortadella
antica corte mortadella;0.79;;;150;g;salumi e formaggi;mortadella
aia aequilibrium mortadella 100% pollo;1.79;;;120;g;salumi e formaggi;mortadella
mortadella nazionale con pistacchio di bronte dop;1.99;;;100;g;salumi e formaggi;mortadella
mortadella casereccia con pistacchi;1.99;;;150;g;salumi e formaggi;mortadella
ben essere mortadella con prosciutto;1.69;1.35;20.12;60;g;salumi e formaggi;mortadella
mortadella bologna igp con pistacchio;1.49;0.99;33.56;120;g;salumi e formaggi;mortadella
mortadella bologna igp;1.49;1.19;20.13;150;g;salumi e formaggi;mortadella
mortadella a fette tradizione italiana;0.79;;;150;g;salumi e formaggi;mortadella
citterio bio prosciutto cotto di alta qualità;3.82;1.69;55.76;110;g;salumi e formaggi;prosciutto cotto
prosciutto cotto nostrale;4.99;2.08;58.32;100;g;salumi e formaggi;prosciutto cotto
prosciutto cotto;2.99;1.79;40.13;80;g;salumi e formaggi;prosciutto cotto
prosciutto cotto;12.0;1.55;87.08;110;g;salumi e formaggi;prosciutto cotto
cipressi in chianti prosciutto arrosto;5.49;4.89;10.93;100;g;salumi e formaggi;prosciutto cotto
negroni, gran cotto a fette;5.98;3.34;44.15;110;g;salumi e formaggi;prosciutto cotto
prosciutto cotto di alta qualità;3.45;2.0;42.03;150;g;salumi e formaggi;prosciutto cotto
prosciutto cotto di alta qualità;4.49;3.69;17.82;140;g;salumi e formaggi;prosciutto cotto
prosciutto cotto di alta qualità;2.58;1.95;24.42;130;g;salumi e formaggi;prosciutto cotto
prosciutto cotto toast 8 fette;1.75;1.55;11.43;100;g;salumi e formaggi;prosciutto cotto
prosciutto cotto scelto;1.49;1.19;20.13;150;g;salumi e formaggi;prosciutto cotto
prosciutto cotto;2.99;1.69;43.48;140;g;salumi e formaggi;prosciutto cotto
prosciutto cotto;4.99;2.09;58.12;125;g;salumi e formaggi;prosciutto cotto
prosciutto cotto alta qualità;2.3;1.75;23.91;110;g;salumi e formaggi;prosciutto cotto
prosciutto cotto alta qualità;2.5;1.69;32.4;150;g;salumi e formaggi;prosciutto cotto
prosciutto cotto di alta qualità;3.49;0.89;74.5;120;g;salumi e formaggi;prosciutto cotto
prosciutto cotto;2.89;1.35;53.29;90;g;salumi e formaggi;prosciutto cotto
prosciutto cotto alta qualita';3.19;1.79;43.89;120;g;salumi e formaggi;prosciutto cotto
prosciutto cotto;1.39;1.29;7.19;80;g;salumi e formaggi;prosciutto cotto
citterio bio prosciutto crudo;4.99;1.69;66.13;80;g;salumi e formaggi;prosciutto cotto
negroni prosciutto cotto alta qualità;1.85;0.69;62.7;110;g;salumi e formaggi;prosciutto cotto
cotto i love you;4.19;2.93;30.07;110;g;salumi e formaggi;prosciutto cotto
100per100 carne italiana fiordicotto;2.59;;;90;g;salumi e formaggi;prosciutto cotto
prosciutto cotto alta qualità;15.0;1.65;89.0;100;g;salumi e formaggi;prosciutto crudo
citterio - sofficette petto di tacchino al forno;1.89;1.19;37.04;80;g;salumi e formaggi;prosciutto crudo
citterio - sofficette di prosciutto crudo;1.79;1.0;44.13;60;g;salumi e formaggi;prosciutto crudo
salame felino;3.79;1.7;55.15;90;g;salumi e formaggi;prosciutto crudo
rovagnati i firmati prosciutto crudo stagionato;3.99;2.99;25.06;100;g;salumi e formaggi;prosciutto crudo
negroni cubetti di cotto;2.85;1.3;54.39;120;g;salumi e formaggi;prosciutto crudo
rovagnati snello prosciutto crudo stagionato;2.89;1.85;35.99;70;g;salumi e formaggi;prosciutto crudo
rovagnati snello arrosto di tacchino;2.25;1.35;40.0;110;g;salumi e formaggi;prosciutto crudo
aia aequilibrium bresaola di tacchino;3.51;1.44;58.97;100;g;salumi e formaggi;prosciutto crudo
fratelli beretta bacon fette;3.59;2.19;39.0;100;g;salumi e formaggi;prosciutto crudo
ferrarini prosciutto cotto di alta qualità;4.59;2.69;41.39;120;g;salumi e formaggi;prosciutto crudo
rovagnati snello prosciutto cotto;24.9;1.55;93.78;110;g;salumi e formaggi;prosciutto crudo
negroni prosciutto crudo;4.07;2.0;50.86;100;g;salumi e formaggi;prosciutto crudo
prosciutto crudo;4.19;2.39;42.96;80;g;salumi e formaggi;prosciutto crudo
prosciutto crudo;19.0;2.67;85.95;120;g;salumi e formaggi;prosciutto crudo
prosciutto crudo;4.47;2.89;35.35;110;g;salumi e formaggi;prosciutto crudo
prosciutto crudo;15.0;1.79;88.07;100;g;salumi e formaggi;prosciutto crudo
fratelli beretta prosciutto cotto per toast;4.38;2.52;42.47;400;g;salumi e formaggi;prosciutto crudo
negroni pancetta affumicata in cubetti;3.6;2.99;16.94;200;g;salumi e formaggi;prosciutto crudo
rovagnati snello prosciutto crudo stagionato;3.39;2.29;32.45;;kg;salumi e formaggi;prosciutto crudo
citterio la merenda prosciutto crudo 5 fette;1.0;0.79;21.0;30;g;salumi e formaggi;prosciutto crudo
rovagnati snello arrosto di pollo alle erbe fini;2.99;1.79;40.13;110;g;salumi e formaggi;prosciutto crudo
masina sapore salute hamburger di equino classico;2.99;2.39;20.07;;kg;salumi e formaggi;prosciutto crudo
citterio - sofficette l'originale salame di milano;2.19;1.35;38.36;60;g;salumi e formaggi;salame
negronetto;5.51;3.9;29.22;220;g;salumi e formaggi;salame
salame tipo milano da suini italiani;2.09;1.67;20.1;90;g;salumi e formaggi;salame
mortadella;3.89;0.99;74.55;150;g;salumi e formaggi;salame
