Name;Price;Discounted Price;Discount (%);Quantity;Units of Measurement;Category;Subcategory
tortellini al prosciutto crudo;1.79;1.29;27.93;250;g;pasta e riso;pasta ripiena
tortelloni freschi ricotta e spinaci;1.39;1.0;28.06;250;g;pasta e riso;pasta ripiena
tortelloni freschi con funghi porcini;1.39;1.0;28.06;250;g;pasta e riso;pasta ripiena
tortellini freschi con prosciutto crudo;1.39;1.0;28.06;250;g;pasta e riso;pasta ripiena
tortellini freschi alla carne;1.39;1.0;28.06;250;g;pasta e riso;pasta ripiena
ravioli di zucca;3.45;2.79;19.13;250;g;pasta e riso;pasta ripiena
ravioli di zucca;3.45;2.24;35.07;250;g;pasta e riso;pasta ripiena
tortelloni freschi con ricotta e spinaci;1.55;1.39;10.32;250;g;pasta e riso;pasta ripiena
tortelloni freschi con funghi porcini;1.55;1.39;10.32;250;g;pasta e riso;pasta ripiena
tortellini freschi alla carne;1.55;1.39;10.32;250;g;pasta e riso;pasta ripiena
tortellini alla bolognese;3.49;2.24;35.82;250;g;pasta e riso;pasta ripiena
barilla emiliane cappelletti con carne;3.49;0.89;74.5;250;g;pasta e riso;pasta ripiena
giovanni rana sfogliavelo carne;2.75;2.29;16.73;250;g;pasta e riso;pasta ripiena
giovanni rana gioiaverde carciofi;2.65;1.59;40.0;250;g;pasta e riso;pasta ripiena
giovanni rana sfogliagrezza pappardelle;1.75;0.99;43.43;250;g;pasta e riso;pasta all'uovo fresca
giovanni rana sfogliavelo brasato;2.63;1.49;43.35;250;g;pasta e riso;pasta all'uovo fresca
lasagne fresche all'uovo;1.08;1.0;7.41;250;g;pasta e riso;pasta all'uovo fresca
lasagne fresche pasta all'uovo;1.45;1.08;25.52;250;g;pasta e riso;pasta all'uovo fresca
tagliolini freschi all'uovo;0.89;0.79;11.24;250;g;pasta e riso;pasta all'uovo fresca
tagliatelle fresche all'uovo;0.99;0.79;20.2;250;g;pasta e riso;pasta all'uovo fresca
tagliolini all'uovo;1.39;0.75;46.04;250;g;pasta e riso;pasta all'uovo fresca
tagliatelle all'uovo;1.19;0.99;16.81;250;g;pasta e riso;pasta all'uovo fresca
pappardelle fresche all'uovo;0.99;0.79;20.2;250;g;pasta e riso;pasta all'uovo fresca
esselunga top, lasagne;2.83;1.69;40.28;500;g;pasta e riso;pasta all'uovo fresca
esselunga top, lasagne sfoglia rustica;1.49;1.04;30.2;250;g;pasta e riso;pasta all'uovo fresca
la selezione emiliana tagliatelle fresche;1.99;;;250;g;pasta e riso;pasta all'uovo fresca
esselunga top, tagliolini;1.49;;;250;g;pasta e riso;pasta all'uovo fresca
esselunga top, tagliatelle rustiche;1.49;;;250;g;pasta e riso;pasta all'uovo fresca
esselunga top, tagliatelle;1.49;;;250;g;pasta e riso;pasta all'uovo fresca
esselunga top, pappardelle rustiche;1.49;1.19;20.13;250;g;pasta e riso;pasta all'uovo fresca
esselunga top, pappardelle;1.49;1.19;20.13;250;g;pasta e riso;pasta all'uovo fresca
esselunga top, lasagne;1.49;0.99;33.56;250;g;pasta e riso;pasta all'uovo fresca
spaghetti alla chitarra;0.99;;;500;g;pasta e riso;pasta all'uovo fresca
tagliolini, pasta fresca all'uovo sfoglia rustica;0.99;0.79;20.2;500;g;pasta e riso;pasta all'uovo fresca
pappardelle uovo;0.99;0.79;20.2;500;g;pasta e riso;pasta all'uovo fresca
tagliatelle fresche all'uovo;0.89;;;250;g;pasta e riso;pasta all'uovo fresca
pappardelle fresche all'uovo;0.89;;;250;g;pasta e riso;pasta all'uovo fresca
tagliolini freschi all'uovo;0.89;;;250;g;pasta e riso;pasta all'uovo fresca
tagliolini freschi 0,250 kg;1.0;;;250;g;pasta e riso;pasta all'uovo fresca
sfogliagrezza pappardelle;1.49;0.89;40.27;250;g;pasta e riso;pasta all'uovo fresca
tagliolini freschi all'uovo;0.99;0.79;20.2;500;g;pasta e riso;pasta all'uovo fresca
tagliatelle fresche all'uovo;0.99;0.79;20.2;500;g;pasta e riso;pasta all'uovo fresca
pastificio valleoro tagliatelle;0.99;0.79;20.2;400;g;pasta e riso;pasta all'uovo fresca
pastificio valleoro spaghetti alla chitarra;0.99;0.79;20.2;400;g;pasta e riso;pasta all'uovo fresca
