Name;Full Price;Current Price;Quantity;Category;Subcategory
Develey, maionese;;3,19;410 ml;Salse, sughi e condimenti;Maionese
Calvé Maionese Bontà Fresca mayò;;1,31;225 ml;Salse, sughi e condimenti;Maionese
MAIONESE CLASSICA;;1,99;580 g;Salse, sughi e condimenti;Maionese
MAIONESE CLASSICA S/G;2,61;1,59;480 g;Salse, sughi e condimenti;Maionese
Kraft Mayonnaise Leggera;;1,59;223 g;Salse, sughi e condimenti;Maionese
SALSA TONNATA;1,39;0,79;240 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Calvé, salsa barbecue;2,69;1,25;250 ml;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Salsa Messicana 250 Ml;1,99;0,99;250 ml;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Simmenthal, Spuntì al prosciutto cotto gusto affum...;2,85;1,77;168 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
SALSA TARTARA;1,35;1,19;240 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
SALSA COCKTAIL;1,35;1,19;240 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Calvé Tonnata;2,49;1,00;225 ml;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Develey Dressing con yogurt;2,29;1,00;230 ml;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Develey, salsa burger;1,65;1,44;250 ml;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Rio mare - Paté, Tonno;1,99;1,66;100 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Salsa Barbecue;3,99;1,00;260 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Dressing con Erbette;1,59;0,99;233 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Dressing Caesar;1,59;0,99;235 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Zuccato Kren;1,99;1,55;200 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Develey Salsa curry;2,51;1,56;250 ml;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Calvé Cocktail;2,55;1,49;227 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Develey Dressing con erbette;1,49;1,00;230 ml;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Biffi, salsa di pere per formaggi;1,69;1,39;100 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Schamel Meerrettich Cren, rafano dalla baviera IGP...;2,39;1,24;145 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Heinz Salsa Curry Mango;3,49;1,00;230 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Delizie di Calabria, 'Nduja;;3,99;180 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Salsa di Arance e Peperoncino;1,99;1,00;40 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Salsa Tartara;1,50;1,00;240 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Rio Mare, Patè tonno e pomodori secchi;2,89;2,25;100 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Develey Dressing Yogurt;1,49;0,99;230 ml;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Salsa di Soia;4,89;3,79;150 ml;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Pate' Olive Taggiasche;1,99;1,00;180 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Salsa Boscaiola Ai Funghi Porcini;1,35;1,26;240 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Patè Di Carciofi;1,40;1,28;130 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
PASTA D'ACCIUGHE;2,39;1,29;60 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
MOSTARDA DI FRUTTA ASSORTITA;4,90;3,14;380 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
Biffi, salsa verde;1,99;1,55;190 g;Salse, sughi e condimenti;Salse Piccanti, Patè e Creme, Pasta d'Acciuga, Salse Etniche e Mostarde
SENAPE;2,74;0,89;300 g;Salse, sughi e condimenti;Senape
Calvé Senape;2,89;1,56;225 ml;Salse, sughi e condimenti;Senape
Heinz, yellow mustard;3,29;1,39;240 g;Salse, sughi e condimenti;Senape
Maille Dÿon originale senape;2,65;1,95;215 g;Salse, sughi e condimenti;Senape
Orco, senape classica monodose;1,69;1,08;90 g;Salse, sughi e condimenti;Senape
Senape 250 Ml;2,69;1,39;250 ml;Salse, sughi e condimenti;Senape
Senape Squeeze;1,25;1,09;259 g;Salse, sughi e condimenti;Senape
Senape Dijon Forte Nut;3,49;1,29;215 g;Salse, sughi e condimenti;Senape
Senape all'Antica;3,39;2,25;210 g;Salse, sughi e condimenti;Senape
Orco, senape in grani;1,99;1,79;135 g;Salse, sughi e condimenti;Senape
SENAPE CLASSICA;1,69;1,35;260 g;Salse, sughi e condimenti;Senape
Maille, au miel mustard with honey;;3,99;230 g;Salse, sughi e condimenti;Senape
Maille, à l'Ancienne senape;;3,49;210 g;Salse, sughi e condimenti;Senape
Louit Freres, senape curcuma biologica;;2,89;130 g;Salse, sughi e condimenti;Senape
Esselunga, senape delicata;;1,49;270 g;Salse, sughi e condimenti;Senape
Esselunga, senape media;;1,02;134 g;Salse, sughi e condimenti;Senape
Esselunga, senape forte tipo Dijon;;1,02;134 g;Salse, sughi e condimenti;Senape
SENAPE IN VASO;;2,19;200 ml;Salse, sughi e condimenti;Senape
SENAPE CON GRANI;2,55;1,75;210 ml;Salse, sughi e condimenti;Senape
Senape Forte;;0,55;250 ml;Salse, sughi e condimenti;Senape
Senape Medio Forte;;0,55;250 ml;Salse, sughi e condimenti;Senape
Senape Tubo;;1,10;180 g;Salse, sughi e condimenti;Senape
Senape con Kren;;1,40;200 g;Salse, sughi e condimenti;Senape
Senape Antica C.Se.Nut;;3,49;200 g;Salse, sughi e condimenti;Senape
Senape;;1,29;;Salse, sughi e condimenti;Senape
Miel Senape con Miele;;2,69;230 g;Salse, sughi e condimenti;Senape
French's, classic yellow mustard;;2,35;226 g;Salse, sughi e condimenti;Senape
Doppio Concentrato Di Pomodoro;0,99;0,55;130 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Mutti, doppio concentrato di pomodoro;1,32;0,69;140 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Cirio Passata Verace;1,89;0,79;700 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Polpa di Pomodoro;1,99;1,29;690 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
SALSA DI POMODORO CILIEGINO;1,18;0,99;330 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
PASSATA DI POMODORO;1,16;0,49;680 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
POLPA POMODORO BASILICO CIPOLLA;1,44;0,99;690 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Star La Mia Pummarò Corposa;0,85;0,65;700 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Barilla Pomodoro Pomodori e Datterini;1,49;1,00;400 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Mutti, salsa pronta datterini;1,99;0,99;300 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Cirio La Rustica Passata;2,13;1,00;680 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Mutti Triplo Concentrato di Pomodoro;1,75;0,95;185 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Doppio Concentrato Di Pomodoro;1,85;0,99;440 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
PASSATA DI POMODORO RUSTICA;1,00;0,69;700 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Mutti, passata di pomodoro;2,99;0,88;470 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
De Rica, Pura passata di pomodoro Vallivo;1,94;0,29;700 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Agromonte Salsa Pronta Di Pomodoro Datterino;1,89;1,00;330 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Mutti le Verdurine Salsina di Pomodoro e Verdurine;1,29;0,87;140 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Cirio La Verace passata;1,39;0,78;540 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Mutti, passata di pomodoro al basilico;1,99;1,89;700 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Doppio Concentrato di Pomodoro;1,79;1,49;185 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
PASSATA DI POMODORO;1,05;0,99;700 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
PASSATA VELLUTATA;1,19;1,07;700 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
TRIPLO CONCENTRATO;1,49;1,29;185 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Passata di Pomodoro;1,00;0,49;700 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Passata di Pomodoro;1,99;1,00;500 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Passata Di Pomodoro Biologica;1,15;1,00;700 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Passata Di Pomodoro;0,57;0,45;400 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Barilla Salsa Pronta Origano di Sicilia;1,70;1,00;300 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Barilla Salsa Pronta Classica Con Olio Extra Vergi...;1,61;1,00;300 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Alce Nero, passata di pomodoro;2,45;1,76;500 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Mutti - Passata di Pomodoro, 100% italiano;1,95;0,97;700 g;Salse, sughi e condimenti;Passata di Pomodoro e Concentrato
Agromonte Salsa Pronta di Pomodorino Ciliegino;1,89;1,00;330 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Alce Nero, polpa di pomodoro biologica;2,90;1,99;500 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
POMODORINI;1,25;0,38;400 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Mutti, pomodorini datterini;2,07;1,25;400 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Polpa Di Pomodoro Biologica;1,79;0,84;400 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
POMODORI PELATI;0,59;0,35;400 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
POMODORI PELATI;0,78;0,55;800 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Mutti Polpa di Pomodoro;1,85;1,15;210 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Pomodorini Datterini;1,78;0,82;400 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
POMODORINI;2,79;0,59;400 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Casar, Polpadoro finissima;3,49;2,39;1200 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Casar, pomodori pelati;1,17;0,92;400 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Campo d'Oro, pesto pistacchio con pistacchio di Si...;5,29;3,95;180 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Pomodori Datterini;1,19;1,12;220 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Pomodori Pelati Interi;0,99;0,35;400 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Polpa di Pomodoro a Cubetti;1,39;0,35;400 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Polpa Di Pomodoro Biologica;1,20;1,15;690 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
POMODORI DATTERINI INTERI;1,00;0,75;400 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Polpa di pomodoro NaturaSì;1,15;0,35;400 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Barilla Salsa Pronta Classica-300 gr;1,99;1,59;300 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Star - GranPesto alla Genovese, senza Aglio;1,99;1,00;190 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Polpa Pronta 2 x 400 g;2,09;1,65;800 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Donna Lina Pomodori Pelati;0,65;0,62;800 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Mutti Polpa di Pomodoro;2,59;1,00;400 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Mutti, pomodori pelati;2,63;1,20;800 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Pomodori pelati NaturaSÃ¬;0,75;0,39;400 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Barilla - I Pesti, Alla Calabrese, Peperoni;;2,09;190 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Cirio, pomodori pelati;;3,90;1200 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Smart, pomodori a cubetti;;1,49;1200 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Smart Pomodori pelati;;0,75;800 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Mutti Polpa di pomodoro;3,99;1,99;1600 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Cirio, Le Selezioni Datterini di Sicilia in salsa...;2,81;1,96;350 g;Salse, sughi e condimenti;Pomodori Pelati e Polpa
Giovanni Rana Pesto Fresco alla Genovese;2,99;1,38;140 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Giovanni Rana Pesto Fresco di Noci;3,59;1,41;140 g;Salse, sughi e condimenti;Salse e Sughi Freschi
PESTO ALLA GENOVESE;2,80;1,45;130 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Biffi Pesto Senza Aglio;2,49;1,53;140 g;Salse, sughi e condimenti;Salse e Sughi Freschi
PESTO SENZ'AGLIO;2,99;1,45;130 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Giovanni Rana Pesto Senz'Aglio;2,99;1,38;140 g;Salse, sughi e condimenti;Salse e Sughi Freschi
SALSA DI NOCI;2,85;1,79;90 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Pesto Genovese;4,15;3,44;170 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Biffi Sugo ai 4 Formaggi;2,69;1,65;150 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Noa Hummus di Ceci e Erbe;2,59;1,39;175 g;Salse, sughi e condimenti;Salse e Sughi Freschi
PESTO BASILICO GENOVESE DOP S/G;1,79;1,20;90 g;Salse, sughi e condimenti;Salse e Sughi Freschi
PESTO BASILICO GENOVESE DOP S/G;1,49;1,04;90 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Pesto Genovese;3,99;2,00;150 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Sugo Fresco con Parmigiano Reggiano;3,19;1,11;180 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Biffi Sugo Allo Scoglio;2,40;1,88;150 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Sugo Fresco Al Tonno E Olive Taggiasche;3,00;2,96;180 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Sugo Fresco Ai Funghi Porcini;3,00;2,96;180 g;Salse, sughi e condimenti;Salse e Sughi Freschi
SALSA AI 4 FORMAGGI;2,49;2,36;160 g;Salse, sughi e condimenti;Salse e Sughi Freschi
PESTO DELICATO SENZ'AGLIO;2,19;2,15;130 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Giovanni Rana Sugo Fresco Amatriciana;1,99;1,59;225 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Giovanni Rana Sugo Fresco Bolognese;2,35;1,41;225 g;Salse, sughi e condimenti;Salse e Sughi Freschi
BUITONI SALSA AI 4 FORMAGGI Salsa fresca al formag...;2,00;1,11;180 g;Salse, sughi e condimenti;Salse e Sughi Freschi
BUITONI PESTO ALLA GENOVESE Pesto fresco con basil...;2,13;1,49;140 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Pesto Leggero Fresco;2,29;2,15;140 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Salsa di Noci;2,79;2,25;150 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Pesto Senz'Aglio;1,79;1,39;90 g;Salse, sughi e condimenti;Salse e Sughi Freschi
RIPIENO RICOTTA E SPINACI;2,59;2,49;450 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Gastronomia Toscana Sughi Tartufo;3,05;1,95;130 g;Salse, sughi e condimenti;Salse e Sughi Freschi
il Pesto di Pra' Salsa di Noci;2,99;2,09;90 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Biffi Sughi Freschi Pesto Senza Aglio Biologico;2,09;1,96;85 g;Salse, sughi e condimenti;Salse e Sughi Freschi
il Pesto di Pra' Pesto Genovese;3,05;2,89;90 g;Salse, sughi e condimenti;Salse e Sughi Freschi
BUITONI PESTO ALLA SICILIANA pesto fresco con basi...;2,10;1,18;140 g;Salse, sughi e condimenti;Salse e Sughi Freschi
Barilla Arrabbiata;1,49;1,00;400 g;Salse, sughi e condimenti;Sughi Pronti
Barilla Basilico;1,49;1,00;400 g;Salse, sughi e condimenti;Sughi Pronti
SUGO ALLE OLIVE;1,30;1,19;350 g;Salse, sughi e condimenti;Sughi Pronti
Barilla Ragù alla Bolognese;2,59;1,00;400 g;Salse, sughi e condimenti;Sughi Pronti
Biffi, sugo radicchio e speck;2,69;1,65;150 g;Salse, sughi e condimenti;Sughi Pronti
Pesto Genovese Senza Aglio;3,44;2,19;190 g;Salse, sughi e condimenti;Sughi Pronti
SUGO ALL'ARRABBIATA;1,49;1,02;350 g;Salse, sughi e condimenti;Sughi Pronti
SUGO AL POMODORO E RICOTTA;1,35;1,01;400 g;Salse, sughi e condimenti;Sughi Pronti
i toscanacci Sugo di Cinghiale;3,99;3,64;180 g;Salse, sughi e condimenti;Sughi Pronti
Barilla Tonno;2,59;1,00;400 g;Salse, sughi e condimenti;Sughi Pronti
Barilla Ragù Contadino con Vino Rosso;2,59;1,00;400 g;Salse, sughi e condimenti;Sughi Pronti
Tigullio GranPesto alla Genovese;2,39;1,00;190 g;Salse, sughi e condimenti;Sughi Pronti
Tigullio GranPesto Peperoni e Noci;1,99;1,00;185 g;Salse, sughi e condimenti;Sughi Pronti
Tigullio GranPesto Radicchio e Speck;2,39;1,00;185 g;Salse, sughi e condimenti;Sughi Pronti
Barilla Ragù Montanaro con Funghi e Salsiccia;2,59;1,00;400 g;Salse, sughi e condimenti;Sughi Pronti
Barilla Amatriciana;2,59;1,00;400 g;Salse, sughi e condimenti;Sughi Pronti
Star Il Mio Gran Ragù Classico;3,29;1,00;360 g;Salse, sughi e condimenti;Sughi Pronti
Barilla i Pesti Pesto alla Genovese Senza Aglio;1,99;1,00;190 g;Salse, sughi e condimenti;Sughi Pronti
Ricotta;2,59;0,99;400 g;Salse, sughi e condimenti;Sughi Pronti
Biffi, 100% vegetale pesto con tofu;2,49;1,74;175 g;Salse, sughi e condimenti;Sughi Pronti
Biffi, crema al tartufo;3,10;2,02;150 g;Salse, sughi e condimenti;Sughi Pronti
Star, Il mio gran ragù extra gusto;3,09;2,00;360 g;Salse, sughi e condimenti;Sughi Pronti
Star, Il mio gran ragù con salsiccia;3,09;2,13;360 g;Salse, sughi e condimenti;Sughi Pronti
Giovanni Rana Sugo fresco con funghi porcini;2,09;1,25;180 g;Salse, sughi e condimenti;Sughi Pronti
Giovanni Rana Sugo fresco carciofi;2,05;1,23;180 g;Salse, sughi e condimenti;Sughi Pronti
SUGO AL BASILICO;1,19;0,99;350 g;Salse, sughi e condimenti;Sughi Pronti
Tigullio GranPesto Olive e Mandorle;1,99;1,00;185 g;Salse, sughi e condimenti;Sughi Pronti
Biffi, 100% vegetale ragù di soia;2,82;1,99;175 g;Salse, sughi e condimenti;Sughi Pronti
Mutti, Sugo Semplice con peperoncino;1,97;1,00;280 g;Salse, sughi e condimenti;Sughi Pronti
Mutti, Sugo Semplice con basilico;1,97;1,00;280 g;Salse, sughi e condimenti;Sughi Pronti
Le conserve della nonna, sugo al basilico;2,05;1,35;280 g;Salse, sughi e condimenti;Sughi Pronti
Barilla Pesto Alla Genovese;2,19;1,75;170 g;Salse, sughi e condimenti;Sughi Pronti
CONIGLIO ITALIANO;14,85;8,49;1500 g;Carne e Pesce;Agnello, coniglio e altre carni
CONIGLIO IN PARTI;8,90;3,00;500 g;Carne e Pesce;Agnello, coniglio e altre carni
ANATRA ITALIANA;13,80;9,90;2000 g;Carne e Pesce;Agnello, coniglio e altre carni
FARAONA TESTA E ZAMPE;10,20;6,59;1200 g;Carne e Pesce;Agnello, coniglio e altre carni
Aia 2 hamburger di coniglio;5,99;3,08;215 g;Carne e Pesce;Agnello, coniglio e altre carni
Fegato di Coniglio;1,23;1,21;300 g;Carne e Pesce;Agnello, coniglio e altre carni
Meta' Gallina Ideale per Lesso, Brodo;2,20;1,80;500 g;Carne e Pesce;Agnello, coniglio e altre carni
GALLINA EVISCERATA;;2,99;1200;Carne e Pesce;Agnello, coniglio e altre carni
CONIGLIO A PEZZI;9,90;5,00;683 g;Carne e Pesce;Agnello, coniglio e altre carni
AGNELLO DA LATTE;10,90;6,00;4000;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga cappone intero nostrano;10,99;6,59;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga I Pronti da Cuocere Faraona semidisossat...;24,74;19,79;;Carne e Pesce;Agnello, coniglio e altre carni
Guidi Faraona semidisossata;22,24;17,79;;Carne e Pesce;Agnello, coniglio e altre carni
Aia Faraona ripiena;18,90;14,90;;Carne e Pesce;Agnello, coniglio e altre carni
Cappone semidisossato;24,37;19,49;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga Cappone semi disossato ripieno delicato;25,99;20,79;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga Naturama cappone;13,32;7,99;;Carne e Pesce;Agnello, coniglio e altre carni
Guidi cappone Reale;;14,99;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga posteriore di capretto;26,28;18,39;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga anteriore di capretto;25,28;17,69;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga mezzo capretto ideale al forno senza tes...;22,85;15,99;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga carne ovina mezzo agnello da latte;19,99;13,99;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga agnello da latte carrè, ideale al forno;25,99;18,19;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga anteriore d'agnello da latte;24,85;17,39;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga posteriori di agnello da latte;26,28;18,39;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga frittura d'agnello (frattaglie);11,99;5,99;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga cappone a metà ideale al forno;;15,70;;Carne e Pesce;Agnello, coniglio e altre carni
CAPRETTO IN PARTI;20,50;12,90;1000;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga agnello coscia e anteriore;17,99;10,79;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga agnello carrè in bella vista, ideale al...;19,99;13,99;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga anteriore di agnello ideale al forno;18,57;12,99;;Carne e Pesce;Agnello, coniglio e altre carni
Esselunga agnello posteriore (cosciotto), ideale a...;19,99;13,99;;Carne e Pesce;Agnello, coniglio e altre carni
Casa Modena Teneroni l'Originale;2,29;1,49;75 g;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Aia Kebab di Pollo Tagliato in Sfoglie;4,99;2,99;0,300 kg;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Aia Durango Alette Arrosto di Pollo;5,69;3,85;0,500 kg;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Impasto Di Salsiccia Di Suino Italiano;7,00;2,60;500 g;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Hamburger Di Suino;8,70;1,00;130;Carne e Pesce;Hamburger, Impanate e Carni Pronte
STINCO PRECOTTO;6,39;3,99;650 g;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Fileni cotolette di petto di pollo Bio;3,99;2,58;200 g;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Hamburger Chianina;3,90;2,90;200 g;Carne e Pesce;Hamburger, Impanate e Carni Pronte
HAMBURGER CON PROSCIUTTO COTTO;1,99;1,89;150 g;Carne e Pesce;Hamburger, Impanate e Carni Pronte
LE BIRBE!;3,99;2,59;300 g;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Aia Carne al Fuoco Costine di suino al rosmarino e...;7,99;4,89;0,600 kg;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Hamburger di Scottona - Biologico;14,90;2,99;300 g;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Carne al Fuoco Stuzzichini Teneri Arrosticini di S...;6,50;3,99;0,420 kg;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Hamburger Di Bovino Adulto;5,16;3,60;400 g;Carne e Pesce;Hamburger, Impanate e Carni Pronte
TENERONI IL BURGER;2,69;2,15;180 g;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Amadori Le Birbe Bocconcini di Pollo;6,00;2,95;0,500 kg;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Aia Spinacine Grancroccanti Filetti di Pollo con S...;4,98;2,90;0,300 Kg;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Hamburger di bovino;13,90;1,29;200;Carne e Pesce;Hamburger, Impanate e Carni Pronte
-25% di Sale* Arrosto di Pollo 100,0 g;3,29;2,29;0,100 kg;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Polpettine Gran Gusto Atp 240 g Amadori;2,70;1,75;0,240 kg;Carne e Pesce;Hamburger, Impanate e Carni Pronte
Fiorani - Involtini Suino Lonza;6,45;4,80;500 g;Carne e Pesce;Hamburger, Impanate e Carni Pronte
